r,cutoff,avg_time (seconds),median_time (seconds)
5,122,0.33142971,0.332682664
5,123,0.330217006,0.33064637
5,124,0.32944583,0.330822223
5,125,0.328767247,0.330449618
5,126,0.326629926,0.32665392
5,127,0.330574077,0.332660409
5,128,0.329337667,0.329357779
5,129,0.327655385,0.328055761
5,130,0.326645654,0.32798034
5,131,0.331510517,0.333950713
5,132,0.325453677,0.326825976
5,133,0.327818505,0.328831462
5,134,0.328240406,0.329304776
5,135,0.326046334,0.326977455
5,136,0.328066536,0.329322641
5,137,0.327520796,0.329636231
5,138,0.331323453,0.331973903
5,139,0.324752216,0.325556588
5,140,0.327776815,0.328273102
5,141,0.324952387,0.325300578
5,142,0.325499235,0.32657003
5,143,0.329738565,0.330034417
5,144,0.323993376,0.324738587
5,145,0.325366452,0.325598474
5,146,0.330227326,0.332219251
5,147,0.322223795,0.323089251
5,148,0.328665076,0.329702942
5,149,0.328350137,0.331717047
5,150,0.328491995,0.329579502
5,151,0.327658552,0.328573373
5,152,0.327322426,0.328103133
5,153,0.324638488,0.325886503
5,154,0.325067105,0.325820091
5,155,0.324776654,0.326923874
5,156,0.326422277,0.328296675
5,157,0.324892813,0.326316413
5,158,0.323631154,0.325895451
5,159,0.324273731,0.324333946
5,160,0.324781663,0.326960113
5,161,0.327818989,0.330427279
5,162,0.328032687,0.3303966
5,163,0.323273461,0.32409163
5,164,0.327459711,0.328992538
5,165,0.322044612,0.324532427
5,166,0.322618942,0.323709853
5,167,0.328788439,0.332805357
5,168,0.324043816,0.325258779
5,169,0.325236324,0.326398998
5,170,0.325314731,0.326082964
5,171,0.323369131,0.324735942
5,172,0.32512911,0.325451647
5,173,0.326084213,0.327254391
5,174,0.324807822,0.326201629
5,175,0.325327266,0.327346278
5,176,0.324740466,0.325161066
5,177,0.329881863,0.330241564
5,178,0.327003152,0.328749461
5,179,0.323396576,0.32463
5,180,0.322978679,0.324316265
5,181,0.326115071,0.327398008
5,182,0.325258998,0.325561212
5,183,0.323911005,0.324617843
5,184,0.324699262,0.325183661
5,185,0.322695445,0.323729085
5,186,0.326594239,0.32775307
5,187,0.325907551,0.325983323
5,188,0.327939454,0.33037725
5,189,0.327184571,0.327998784
5,190,0.323028315,0.324553526
5,191,0.325311087,0.32601407
5,192,0.326225445,0.328617783
5,193,0.325809404,0.326047375
5,194,0.324418938,0.324535812
